TRANS,MKBEST,KNUM,CLX,SK
None,f_classif,1,LogisticRegression,0.8357348703170029
None,f_classif,1,LogisticRegression,0.8541666666666666
None,f_classif,1,LogisticRegression,0.8448275862068966
None,f_classif,1,DecisionTreeClassifier,0.8304093567251462
None,f_classif,1,DecisionTreeClassifier,0.8390092879256966
None,f_classif,1,DecisionTreeClassifier,0.8377581120943952
None,f_classif,1,SVC,0.8338192419825072
None,f_classif,1,SVC,0.8390092879256966
None,f_classif,1,SVC,0.838038632986627
None,f_classif,1,KNeighborsClassifier,0.8306801736613604
None,f_classif,1,KNeighborsClassifier,0.8311306901615272
None,f_classif,1,KNeighborsClassifier,0.8402366863905325
None,f_classif,1,GaussianNB,0.8352272727272727
None,f_classif,1,GaussianNB,0.8529839883551673
None,f_classif,1,GaussianNB,0.8377997179125528
None,f_classif,1,GradientBoostingClassifier,0.8347826086956521
None,f_classif,1,GradientBoostingClassifier,0.8364197530864196
None,f_classif,1,GradientBoostingClassifier,0.8345534407027819
None,f_classif,1,RandomForestClassifier,0.8291970802919708
None,f_classif,1,RandomForestClassifier,0.8366412213740458
None,f_classif,1,RandomForestClassifier,0.8372093023255814
None,f_classif,2,LogisticRegression,0.9054441260744986
None,f_classif,2,LogisticRegression,0.9059334298118669
None,f_classif,2,LogisticRegression,0.90014064697609
None,f_classif,2,DecisionTreeClassifier,0.878998609179416
None,f_classif,2,DecisionTreeClassifier,0.8779803646563815
None,f_classif,2,DecisionTreeClassifier,0.8802228412256267
None,f_classif,2,SVC,0.841799709724238
None,f_classif,2,SVC,0.8430769230769232
None,f_classif,2,SVC,0.8533333333333333
None,f_classif,2,KNeighborsClassifier,0.8534107402031931
None,f_classif,2,KNeighborsClassifier,0.8776119402985074
None,f_classif,2,KNeighborsClassifier,0.8666666666666667
None,f_classif,2,GaussianNB,0.9126760563380283
None,f_classif,2,GaussianNB,0.9026798307475319
None,f_classif,2,GaussianNB,0.9065550906555091
None,f_classif,2,GradientBoostingClassifier,0.9106145251396648
None,f_classif,2,GradientBoostingClassifier,0.9052333804809052
None,f_classif,2,GradientBoostingClassifier,0.9030470914127424
None,f_classif,2,RandomForestClassifier,0.9019607843137256
None,f_classif,2,RandomForestClassifier,0.891089108910891
None,f_classif,2,RandomForestClassifier,0.9062937062937063
None,f_classif,3,LogisticRegression,0.9111747851002865
None,f_classif,3,LogisticRegression,0.9130434782608695
None,f_classif,3,LogisticRegression,0.9044943820224719
None,f_classif,3,DecisionTreeClassifier,0.9608938547486034
None,f_classif,3,DecisionTreeClassifier,0.9598893499308436
None,f_classif,3,DecisionTreeClassifier,0.9554317548746518
None,f_classif,3,SVC,0.8367346938775512
None,f_classif,3,SVC,0.843558282208589
None,f_classif,3,SVC,0.855457227138643
None,f_classif,3,KNeighborsClassifier,0.8534107402031931
None,f_classif,3,KNeighborsClassifier,0.8792846497764532
None,f_classif,3,KNeighborsClassifier,0.8699421965317921
None,f_classif,3,GaussianNB,0.9202797202797203
None,f_classif,3,GaussianNB,0.9027777777777778
None,f_classif,3,GaussianNB,0.8964577656675748
None,f_classif,3,GradientBoostingClassifier,0.9661971830985915
None,f_classif,3,GradientBoostingClassifier,0.9692737430167597
None,f_classif,3,GradientBoostingClassifier,0.9624478442280946
None,f_classif,3,RandomForestClassifier,0.9674681753889673
None,f_classif,3,RandomForestClassifier,0.9620253164556962
None,f_classif,3,RandomForestClassifier,0.9612188365650971
None,f_classif,4,LogisticRegression,0.9466292134831461
None,f_classif,4,LogisticRegression,0.9331436699857752
None,f_classif,4,LogisticRegression,0.9302987197724039
None,f_classif,4,DecisionTreeClassifier,0.9622377622377623
None,f_classif,4,DecisionTreeClassifier,0.9628610729023384
None,f_classif,4,DecisionTreeClassifier,0.9654218533886585
None,f_classif,4,SVC,0.8425655976676385
None,f_classif,4,SVC,0.8496932515337423
None,f_classif,4,SVC,0.8525073746312686
None,f_classif,4,KNeighborsClassifier,0.863768115942029
None,f_classif,4,KNeighborsClassifier,0.8778280542986425
None,f_classif,4,KNeighborsClassifier,0.8817518248175182
None,f_classif,4,GaussianNB,0.9381017881705639
None,f_classif,4,GaussianNB,0.9105914718019257
None,f_classif,4,GaussianNB,0.9191374663072776
None,f_classif,4,GradientBoostingClassifier,0.9790794979079498
None,f_classif,4,GradientBoostingClassifier,0.975
None,f_classif,4,GradientBoostingClassifier,0.9749303621169918
None,f_classif,4,RandomForestClassifier,0.9803370786516854
None,f_classif,4,RandomForestClassifier,0.9747899159663865
None,f_classif,4,RandomForestClassifier,0.9764216366158113
None,f_classif,5,LogisticRegression,0.952112676056338
None,f_classif,5,LogisticRegression,0.9411764705882352
None,f_classif,5,LogisticRegression,0.9301675977653632
None,f_classif,5,DecisionTreeClassifier,0.9566433566433566
None,f_classif,5,DecisionTreeClassifier,0.9629629629629629
None,f_classif,5,DecisionTreeClassifier,0.9636871508379888
None,f_classif,5,SVC,0.855072463768116
None,f_classif,5,SVC,0.8652694610778443
None,f_classif,5,SVC,0.8715728715728716
None,f_classif,5,KNeighborsClassifier,0.85383502170767
None,f_classif,5,KNeighborsClassifier,0.8588235294117648
None,f_classif,5,KNeighborsClassifier,0.8681948424068767
None,f_classif,5,GaussianNB,0.9436038514442916
None,f_classif,5,GaussianNB,0.9220246238030095
None,f_classif,5,GaussianNB,0.9103078982597056
None,f_classif,5,GradientBoostingClassifier,0.9803370786516854
None,f_classif,5,GradientBoostingClassifier,0.9778393351800554
None,f_classif,5,GradientBoostingClassifier,0.9737206085753803
None,f_classif,5,RandomForestClassifier,0.9788434414668548
None,f_classif,5,RandomForestClassifier,0.9675599435825105
None,f_classif,5,RandomForestClassifier,0.9736477115117893
None,f_classif,6,LogisticRegression,0.9561527581329561
None,f_classif,6,LogisticRegression,0.9420289855072465
None,f_classif,6,LogisticRegression,0.9372384937238494
None,f_classif,6,DecisionTreeClassifier,0.9677419354838709
None,f_classif,6,DecisionTreeClassifier,0.9615384615384616
None,f_classif,6,DecisionTreeClassifier,0.970954356846473
None,f_classif,6,SVC,0.8237129485179406
None,f_classif,6,SVC,0.8190476190476191
